# x_m,y_m,w_tr_right_m,w_tr_left_m
-5.5200,1.7500,0.5385,0.5385
-5.5200,1.7000,0.5220,0.5220
-5.5200,1.6500,0.5099,0.5099
-5.5200,1.6000,0.5025,0.5025
-5.5200,1.5500,0.5000,0.5000
-5.5200,1.5000,0.5000,0.5000
-5.5200,1.4500,0.5025,0.5025
-5.5200,1.4000,0.5099,0.5099
-5.5200,1.3500,0.5220,0.5220
-5.5200,1.3000,0.5385,0.5385
-5.5200,1.2500,0.5500,0.5500
-5.5200,1.2000,0.5523,0.5523
-5.5200,1.1500,0.5590,0.5590
-5.5200,1.1000,0.5701,0.5701
-5.5200,1.0500,0.5852,0.5852
-5.5700,1.0000,0.5852,0.5852
-5.5700,0.9500,0.6000,0.6000
-5.5700,0.9000,0.6000,0.6000
-5.5700,0.8500,0.6000,0.6000
-5.5200,0.8000,0.6500,0.6500
-5.5200,0.7500,0.6519,0.6519
-5.5700,0.7000,0.6083,0.6083
-5.5700,0.6500,0.6185,0.6185
-5.5200,0.6000,0.6801,0.6801
-5.5200,0.5500,0.6964,0.6964
-5.4700,0.5000,0.7500,0.7500
-5.4700,0.4500,0.7500,0.7500
-5.4200,0.4000,0.7778,0.7778
-5.3700,0.3500,0.7778,0.7778
-5.3200,0.3000,0.7778,0.7778
-5.2700,0.3000,0.7906,0.7906
-5.2200,0.2500,0.8062,0.8062
-5.1700,0.2500,0.7826,0.7826
-5.1200,0.2500,0.7616,0.7616
-5.0700,0.2000,0.7906,0.7906
-5.0200,0.1500,0.8246,0.8246
-4.9700,0.1000,0.8631,0.8631
-4.9200,0.1000,0.8559,0.8559
-4.8700,0.0500,0.8944,0.8944
-4.8200,0.0500,0.8732,0.8732
-4.7700,0.0000,0.8944,0.8944
-4.7200,0.0000,0.8732,0.8732
-4.6700,0.0000,0.8544,0.8544
-4.6200,-0.0500,0.8860,0.8860
-4.5700,-0.0500,0.8732,0.8732
-4.5200,-0.0500,0.8631,0.8631
-4.4700,-0.1000,0.8500,0.8500
-4.4200,-0.1000,0.8515,0.8515
-4.3700,-0.1000,0.8559,0.8559
-4.3200,-0.1000,0.8631,0.8631
-4.2700,-0.1000,0.8732,0.8732
-4.2200,-0.1000,0.8860,0.8860
-4.1700,-0.1000,0.9000,0.9000
-4.1200,-0.1500,0.8500,0.8500
-4.0700,-0.1500,0.8500,0.8500
-4.0200,-0.1500,0.8500,0.8500
-3.9700,-0.1500,0.8500,0.8500
-3.9200,-0.1500,0.8500,0.8500
-3.8700,-0.1500,0.8500,0.8500
-3.8200,-0.1500,0.8500,0.8500
-3.7700,-0.1500,0.8500,0.8500
-3.7200,-0.1500,0.8515,0.8515
-3.6700,-0.1500,0.8559,0.8559
-3.6200,-0.1500,0.8631,0.8631
-3.5700,-0.1500,0.8559,0.8559
-3.5200,-0.1500,0.8515,0.8515
-3.4700,-0.1500,0.8500,0.8500
-3.4200,-0.1500,0.8500,0.8500
-3.3700,-0.1500,0.8500,0.8500
-3.3200,-0.1500,0.8500,0.8500
-3.2700,-0.1500,0.8500,0.8500
-3.2200,-0.1500,0.8500,0.8500
-3.1700,-0.1500,0.8500,0.8500
-3.1200,-0.1500,0.8500,0.8500
-3.0700,-0.1500,0.8500,0.8500
-3.0200,-0.2000,0.8559,0.8559
-2.9700,-0.2000,0.8631,0.8631
-2.9200,-0.2000,0.8732,0.8732
-2.8700,-0.2000,0.8860,0.8860
-2.8200,-0.2000,0.9000,0.9000
-2.7700,-0.2000,0.9000,0.9000
-2.7200,-0.2000,0.9000,0.9000
-2.6700,-0.2000,0.9000,0.9000
-2.6200,-0.2000,0.9000,0.9000
-2.5700,-0.2000,0.9000,0.9000
-2.5200,-0.2000,0.9000,0.9000
-2.4700,-0.2000,0.9000,0.9000
-2.4200,-0.2000,0.9000,0.9000
