# x_m,y_m,w_tr_right_m,w_tr_left_m
11.051788, 6.700127, 1.000000, 1.000000
11.012306, 6.739902, 1.000000, 1.000000
10.961361, 6.751979, 1.000000, 1.000000
10.904362, 6.749473, 1.000000, 1.000000
10.848573, 6.749889, 1.000000, 1.000000
10.792700, 6.750083, 1.000000, 1.000000
10.736767, 6.750122, 1.000000, 1.000000
10.680800, 6.750077, 1.000000, 1.000000
10.624825, 6.750016, 1.000000, 1.000000
10.568855, 6.749977, 1.000000, 1.000000
10.512890, 6.749957, 1.000000, 1.000000
10.456929, 6.749952, 1.000000, 1.000000
10.400972, 6.749958, 1.000000, 1.000000
10.345019, 6.749973, 1.000000, 1.000000
10.289067, 6.749992, 1.000000, 1.000000
10.233117, 6.750011, 1.000000, 1.000000
10.177168, 6.750028, 1.000000, 1.000000
10.121219, 6.750037, 1.000000, 1.000000
10.065269, 6.750035, 1.000000, 1.000000
10.009319, 6.750024, 1.000000, 1.000000
9.953367, 6.750007, 1.000000, 1.000000
9.897414, 6.749989, 1.000000, 1.000000
9.841458, 6.749972, 1.000000, 1.000000
9.785500, 6.749962, 1.000000, 1.000000
9.729540, 6.749961, 1.000000, 1.000000
9.673577, 6.749975, 1.000000, 1.000000
9.617610, 6.750006, 1.000000, 1.000000
9.561639, 6.750059, 1.000000, 1.000000
9.505672, 6.750117, 1.000000, 1.000000
9.449773, 6.750005, 1.000000, 1.000000
9.394029, 6.749480, 1.000000, 1.000000
9.336989, 6.752072, 1.000000, 1.000000
9.286556, 6.738761, 1.000000, 1.000000
9.246874, 6.699470, 1.000000, 1.000000
9.190659, 6.700094, 1.000000, 1.000000
9.134692, 6.700121, 1.000000, 1.000000
9.078827, 6.699989, 1.000000, 1.000000
9.022845, 6.699951, 1.000000, 1.000000
8.966860, 6.699952, 1.000000, 1.000000
8.910908, 6.699986, 1.000000, 1.000000
8.854973, 6.700032, 1.000000, 1.000000
8.799040, 6.700066, 1.000000, 1.000000
8.743095, 6.700065, 1.000000, 1.000000
8.687121, 6.700007, 1.000000, 1.000000
8.631122, 6.699907, 1.000000, 1.000000
8.575141, 6.699862, 1.000000, 1.000000
8.519229, 6.699974, 1.000000, 1.000000
8.463431, 6.700351, 1.000000, 1.000000
8.407285, 6.699865, 1.000000, 1.000000
8.351419, 6.700095, 1.000000, 1.000000
8.312103, 6.740254, 1.000000, 1.000000
8.260985, 6.751954, 1.000000, 1.000000
8.203776, 6.748873, 1.000000, 1.000000
8.162378, 6.783994, 1.000000, 1.000000
8.124031, 6.827137, 1.000000, 1.000000
8.085173, 6.865855, 1.000000, 1.000000
8.043272, 6.904676, 1.000000, 1.000000
8.002742, 6.943859, 1.000000, 1.000000
7.999606, 6.998488, 1.000000, 1.000000
7.960205, 7.038128, 1.000000, 1.000000
7.947994, 7.089025, 1.000000, 1.000000
7.951187, 7.146301, 1.000000, 1.000000
7.911674, 7.185889, 1.000000, 1.000000
7.898027, 7.236191, 1.000000, 1.000000
7.900238, 7.293061, 1.000000, 1.000000
7.900386, 7.349077, 1.000000, 1.000000
7.897177, 7.403703, 1.000000, 1.000000
7.855968, 7.442588, 1.000000, 1.000000
7.848420, 7.495416, 1.000000, 1.000000
7.850890, 7.552394, 1.000000, 1.000000
7.849737, 7.607871, 1.000000, 1.000000
7.849803, 7.663853, 1.000000, 1.000000
7.850192, 7.719968, 1.000000, 1.000000
7.849463, 7.775621, 1.000000, 1.000000
7.852997, 7.833040, 1.000000, 1.000000
7.823034, 7.876584, 1.000000, 1.000000
7.796918, 7.921715, 1.000000, 1.000000
7.800398, 7.979137, 1.000000, 1.000000
7.800427, 8.035028, 1.000000, 1.000000
7.799264, 8.090659, 1.000000, 1.000000
7.800806, 8.146976, 1.000000, 1.000000
7.797487, 8.202281, 1.000000, 1.000000
7.753592, 8.242521, 1.000000, 1.000000
7.778628, 8.278763, 1.000000, 1.000000
7.803376, 8.328409, 1.000000, 1.000000
7.799689, 8.385207, 1.000000, 1.000000
7.799502, 8.441314, 1.000000, 1.000000
7.800149, 8.497035, 1.000000, 1.000000
7.800932, 8.552642, 1.000000, 1.000000
7.797549, 8.609989, 1.000000, 1.000000
7.809521, 8.661005, 1.000000, 1.000000
7.849392, 8.700434, 1.000000, 1.000000
7.850001, 8.756138, 1.000000, 1.000000
7.850390, 8.811931, 1.000000, 1.000000
7.847475, 8.869093, 1.000000, 1.000000
7.865568, 8.917553, 1.000000, 1.000000
7.902501, 8.958210, 1.000000, 1.000000
7.897177, 9.016369, 1.000000, 1.000000
7.914261, 9.065248, 1.000000, 1.000000
7.950223, 9.106306, 1.000000, 1.000000
7.957013, 9.159448, 1.000000, 1.000000
7.998022, 9.198417, 1.000000, 1.000000
8.001747, 9.252828, 1.000000, 1.000000
8.040104, 9.292895, 1.000000, 1.000000
8.081444, 9.331726, 1.000000, 1.000000
8.125663, 9.369363, 1.000000, 1.000000
8.150650, 9.414969, 1.000000, 1.000000
8.159612, 9.467211, 1.000000, 1.000000
8.204289, 9.504653, 1.000000, 1.000000
8.245331, 9.543616, 1.000000, 1.000000
8.283993, 9.583563, 1.000000, 1.000000
8.323064, 9.623333, 1.000000, 1.000000
8.362454, 9.662968, 1.000000, 1.000000
8.402063, 9.702508, 1.000000, 1.000000
8.441797, 9.741998, 1.000000, 1.000000
8.481556, 9.781481, 1.000000, 1.000000
8.521247, 9.820998, 1.000000, 1.000000
8.560840, 9.860561, 1.000000, 1.000000
8.600362, 9.900155, 1.000000, 1.000000
8.639843, 9.939765, 1.000000, 1.000000
8.679313, 9.979375, 1.000000, 1.000000
8.718801, 10.018968, 1.000000, 1.000000
8.758339, 10.058530, 1.000000, 1.000000
8.797956, 10.098043, 1.000000, 1.000000
8.837650, 10.137524, 1.000000, 1.000000
8.877274, 10.177129, 1.000000, 1.000000
8.916661, 10.217010, 1.000000, 1.000000
8.956467, 10.255803, 1.000000, 1.000000
8.995992, 10.295585, 1.000000, 1.000000
9.033248, 10.340725, 1.000000, 1.000000
9.085835, 10.348839, 1.000000, 1.000000
9.128815, 10.380170, 1.000000, 1.000000
9.176596, 10.399898, 1.000000, 1.000000
9.223163, 10.422563, 1.000000, 1.000000
9.267567, 10.450449, 1.000000, 1.000000
9.317348, 10.465353, 1.000000, 1.000000
9.358824, 10.500308, 1.000000, 1.000000
9.411220, 10.508900, 1.000000, 1.000000
9.450705, 10.548661, 1.000000, 1.000000
9.504528, 10.553807, 1.000000, 1.000000
9.543463, 10.594894, 1.000000, 1.000000
9.597030, 10.600658, 1.000000, 1.000000
9.636960, 10.639347, 1.000000, 1.000000
9.688695, 10.649532, 1.000000, 1.000000
9.730945, 10.682620, 1.000000, 1.000000
9.779842, 10.699659, 1.000000, 1.000000
9.825170, 10.725312, 1.000000, 1.000000
9.870748, 10.750363, 1.000000, 1.000000
9.919856, 10.766893, 1.000000, 1.000000
9.960859, 10.802989, 1.000000, 1.000000
10.019345, 10.796877, 1.000000, 1.000000
10.067161, 10.816526, 1.000000, 1.000000
10.109058, 10.850464, 1.000000, 1.000000
10.161485, 10.858980, 1.000000, 1.000000
10.200904, 10.898902, 1.000000, 1.000000
10.254964, 10.903474, 1.000000, 1.000000
10.293781, 10.944848, 1.000000, 1.000000
10.347250, 10.950850, 1.000000, 1.000000
10.403152, 10.950973, 1.000000, 1.000000
10.443031, 10.989796, 1.000000, 1.000000
10.478950, 11.038138, 1.000000, 1.000000
10.530193, 11.049499, 1.000000, 1.000000
10.577844, 11.070070, 1.000000, 1.000000
10.613711, 11.116553, 1.000000, 1.000000
10.655528, 11.154123, 1.000000, 1.000000
10.696440, 11.193056, 1.000000, 1.000000
10.700872, 11.247305, 1.000000, 1.000000
10.698813, 11.304078, 1.000000, 1.000000
10.705564, 11.357247, 1.000000, 1.000000
10.746820, 11.396110, 1.000000, 1.000000
10.750897, 11.450375, 1.000000, 1.000000
10.748423, 11.507356, 1.000000, 1.000000
10.757459, 11.559563, 1.000000, 1.000000
10.798036, 11.598687, 1.000000, 1.000000
10.801179, 11.653425, 1.000000, 1.000000
10.799084, 11.710184, 1.000000, 1.000000
10.799794, 11.765770, 1.000000, 1.000000
10.800265, 11.821579, 1.000000, 1.000000
10.800332, 11.877601, 1.000000, 1.000000
10.800129, 11.933685, 1.000000, 1.000000
10.799791, 11.989675, 1.000000, 1.000000
